binary,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:06:21Z","12945318604","71017536","39.551924","0.215705"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:07:38Z","24142053510","231504909","5.302341","0.050787"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:09:39Z","7702979307","60226284","66.471071","0.524741"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:10:26Z","20846818349","128449023","6.140211","0.037619"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","32","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:12:10Z","5088246104","38455046","100.628618","0.753199"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","32","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:12:41Z","21595746707","193285799","5.927468","0.052429"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","40","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:14:30Z","4775822761","25732861","107.209142","0.576080"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","40","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:14:59Z","27919898809","120561225","4.584613","0.019905"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:17:19Z","6375246934","4622425","80.310648","0.058253"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:17:57Z","25990813166","66842532","4.924843","0.012651"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","64","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:20:07Z","4960079724","14031259","103.224810","0.292651"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","64","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:20:37Z","21860706808","347971204","5.856450","0.093921"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","80","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:22:27Z","4737073357","241455143","108.295280","5.191794"
original,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","80","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:22:55Z","21887561045","636581976","5.852029","0.170141"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:24:48Z","12851965053","12486838","39.838296","0.038698"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:26:05Z","19757310743","6315258","6.478615","0.002070"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:27:44Z","7782431331","6464169","65.789245","0.054645"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:28:31Z","18550747404","813028779","6.910441","0.298135"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","32","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:30:04Z","5130719626","3897408","99.791116","0.075755"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","32","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:30:35Z","21045585146","297365350","6.083006","0.085850"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","40","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:32:20Z","4774258692","15308268","107.242662","0.343918"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","40","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:32:49Z","27230962724","3727073918","4.700816","0.040898"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:35:05Z","6426017957","11553972","79.676298","0.143221"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:35:44Z","23151787418","125358448","5.528860","0.029910"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","64","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:37:40Z","5051250794","16531039","101.361903","0.332109"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","64","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:38:10Z","25175761341","3117124","5.084255","0.000629"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","80","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:40:16Z","5092068023","980872106","102.979054","15.773671"
distribute,"3769fe6e","8156","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","80","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:40:47Z","21336796521","569238560","6.002441","0.160021"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:42:37Z","12863772197","15538488","39.801746","0.048080"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:43:54Z","24633548008","1040373227","5.203545","0.218437"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:45:58Z","7735438534","41948296","66.190445","0.361046"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:46:44Z","20874940827","91662232","6.131849","0.026977"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","32","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:48:28Z","5071221912","1883472","100.961872","0.037472"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","32","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:48:59Z","21938970438","298588041","5.835224","0.078728"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","40","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:50:49Z","4830044694","57900408","106.015180","1.253442"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","40","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-25T13:51:19Z","24222325650","55920094","5.284404","0.012217"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CPU","/projects/comp468/aj162//cache/llama.cpp/Meta-Llama-3.1-8B-Instruct-Q8_0.gguf","llama 8B Q8_0","8532934912","8030261312","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-25T13:53:21Z","6358084487","22223013","80.528186","0.281810"
