binary,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-26T15:22:14Z","1759435298","38154262","291.112712","6.356790"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-26T15:22:25Z","3260844854","35558647","39.257317","0.422558"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-26T15:22:41Z","1055354456","10520311","485.183358","4.802723"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-26T15:22:48Z","2615753684","33575741","48.940706","0.626742"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","32","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-26T15:23:01Z","740698009","34576444","692.396920","30.997332"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","32","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-26T15:23:05Z","2854933538","10643652","44.835165","0.166456"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","40","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-26T15:23:20Z","771660174","29437513","664.246260","24.309771"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","40","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-26T15:23:24Z","2831908922","6126327","45.199363","0.097666"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-26T15:23:39Z","784026665","2800781","653.045712","2.343827"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-26T15:23:43Z","2894796269","6488896","44.217452","0.098995"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","64","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-26T15:23:58Z","764018563","4817906","670.162031","4.211377"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","64","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-26T15:24:03Z","2607391415","13481128","49.092255","0.252654"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","80","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-03-26T15:24:16Z","788849234","8197993","649.102789","6.745424"
fixed,"ec07e9c6","8160","Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz","","CUDA","/projects/comp468/aj162//cache/llama.cpp/Llama-3.2-1B-Instruct-Q4_K_M.gguf","llama 1B Q4_K - Medium","799862912","1235814432","2048","512","80","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-03-26T15:24:20Z","2866012607","95188951","44.699161","1.422988"
